text,neutral,positive,negative,narrator,y
"να με τιμήσουν, το βαθύγνωμο το Δία πιο πάνω απ᾿ όλους.",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"Εσένα πιο βαριά σε οχτρεύομαι μες στους τρανούς ρηγάδες,",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
"τι πάντα πόλεμοι σου αρέσουνε, συνερισιές κι αμάχες'",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"και λέω, κι αν είσαι τόσο αντρόκαρδος, από θεού 'ναι δώρο.",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"Τράβα στον τόπο σου με τ᾿ άρμενα και τους συντρόφους σου όλους,",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"κι εκεί στους Μυρμιδόνες όριζε᾿ δε σε ψηφώ καθόλου,",0.25,0.125,0.5,0.125,"[0.25, 0.125, 0.5, 0.125]"
"κι ούτε με νοιάζει που μου θύμωσες, μόν᾿ τή φοβέρα μου άκου:",0.25,0.0,0.75,0.0,"[0.25, 0.0, 0.75, 0.0]"
Όπως μου παίρνει πίσω ο Απόλλωνας τη Χρυσοπούλα τώρα,0.125,0.0,0.875,0.0,"[0.125, 0.0, 0.875, 0.0]"
"και θα τη στείλω εγώ με ανθρώπους μου και με άρμενο δικό μου,",0.125,0.0,0.75,0.125,"[0.125, 0.0, 0.75, 0.125]"
"όμοια κι εγώ τη ροδομάγουλη τη Βρισοπούλα ατός μου,",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"το μερτικό σου, στην καλύβα σου θα 'ρθω να πάρω, πόσο",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]"
"να μάθεις στέκω εγώ πιο πάνω σου, και να φοβάται κι άλλος",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]"
"να μου μιλάει σαν ίσιος κι όμοιος μου, σύντας βρεθεί μπροστά μου.»",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
"Έτσι είπε, κι ο Αχιλλέας συχύστηκε᾿ στα δασωμένα στήθια",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"διχόγνωμη η καρδιά του εδούλευε, κι αναρωτιόταν, τάχα",0.0,0.375,0.5,0.125,"[0.0, 0.375, 0.5, 0.125]"
"το κοφτερό σπαθί που εκρέμουνταν πλάι στο μερί να σύρει,",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
"κι ως διασκορπίσει όλη τη σύναξη, το γιο του Ατρέα να σφάξει,",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
για να μερώσει το άγριο πάθος του και το θυμό να πνίξει;,0.0,0.375,0.5,0.125,"[0.0, 0.375, 0.5, 0.125]"
Κι ως τούτα ανάδευε στα φρένα του βαθιά και στην καρδιά του,0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
"και το τρανό σπαθί του ανάσερνε, να τη η Αθηνά απ᾿ τα ουράνια'",0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]"
"η Ήρα μαθές η κρουσταλλόχερη την είχε ξαποστείλει,",0.25,0.5,0.125,0.125,"[0.25, 0.5, 0.125, 0.125]"
που και τους δυο παρόμοια νοιάζουνταν κι ίδια τους είχε αγάπη.,0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]"
Πίσω του εστάθη και τον άρπαξεν απ᾿ τα ξανθά μαλλιά του',0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]"
"άλλος κανείς δεν την ξεχώριζε, μόνο ο Αχιλλέας μπορούσε.",0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]"
"Σάστισε αυτός, τα πίσω στράφηκε, κι ευτύς αναγνωρίζει",0.0,0.625,0.25,0.125,"[0.0, 0.625, 0.25, 0.125]"
την Αθηνά Παλλάδα—κι άστραφταν φριχτά τα δυο της μάτια—,0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
και κράζοντας τη με ανεμάρπαστα της συντυχαίνει λόγια:,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"« Τέκνο του Δία του βροντοσκούταρου, γιατί ήρθες τώρα πάλε;",0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]"
"Για τον υγιό του Ατρέα μην έτρεξες, να δεις την ξιπασιά του;",0.125,0.25,0.5,0.125,"[0.125, 0.25, 0.5, 0.125]"
"Εγώ ένα λόγο ωστόσο θα 'λεγα, που θα γενεί, λογιάζω:",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]"
με τ᾿ άπρεπα του αυτά καμώματα θα γοργοθανατίσει.»,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"Τότε η Αθηνά, η θεά η γλαυκόματη, του απηλογήθη κι είπε:",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
"«Ήρθα να πάψω εγώ την όργητα που σε κρατεί, αν μ᾿ ακούσεις,",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
"σταλμένη απ᾿ την κρουσταλλοβράχιονη την Ήρα από τα ουράνια,",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
που και τους δυο σας ίδια νοιάζεται κι ίδια σας έχει αγάπη.,0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
"Μον᾿ έλα, σκόλνα τα μαλώματα και το σπαθί μη σέρνεις᾿",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
"με λόγια ωστόσο, αν θέλεις, βρίσε τον, κι όπου σε βγάλει η γλώσσα!",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
"Κι εγώ ένα λόγο τώρα θα 'λεγα, που σίγουρα θα γένει:",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
τρίδιπλα τόσα δώρα ατίμητα μια μέρα θα σου δώσουν,0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
"γι᾿ αυτό το ντρόπιασμα, μόν᾿ άκου μας και το θυμό σου κράτα.»",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
Τότε ο Αχιλλέας ο φτεροπόδαρος απηλογιά της δίνει:,0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
"«Δεν πρέπει αλήθεια την ορμήνια σας, θεά, να παρακούσω,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
κι ας πνίγει η οργή βαθιά τα σπλάχνα μου᾿ το πιο συφέρο αυτό 'ναι.,0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]"
"Που τους θεούς γρικάει, με προθυμία τον συνακούν κι εκείνοι.»",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
"Είπε, και το τρανό ξανάσπρωξε σπαθί του στο θηκάρι,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"στη βαριά φούχτα το χερόλαβο κρατώντας το ασημένιο,",0.25,0.5,0.125,0.125,"[0.25, 0.5, 0.125, 0.125]"
στης Αθηνάς τα λόγια ακούγοντας᾿ κι εκείνη στο παλάτι,0.375,0.5,0.0,0.125,"[0.375, 0.5, 0.0, 0.125]"
"πετάει και πάει του Δία, στον Όλυμπο, με τους θεούς τους άλλους.",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
"Ωστόσο το θυμό δε σκόλαζε τότε ο Αχιλλέας, μόν᾿ πήρε",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
φαρμακεμένα λόγια κι έλεγε στο γιο του Ατρέα γυρνώντας:,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"«Μεθύστακα, με μάτια εσύ σκυλιού και με καρδιά αλαφίνας!",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
Πότε η καρδιά σου εσένα βάστηξε ν᾿ αρματωθείς και να 'βγεις,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
με τα φουσάτα μας στον πόλεμο; Πότε να πας να στήσεις,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
καρτέρι με τους πιο αντρειωμένους μας; το τρέμεις σαν το Χάρο!,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"Αλήθεια, πιο καλά στ᾿ απλόχωρα των Αχαιών λημέρια",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
όποιου μιλήσει αντρίκεια αντίκρυ σου ν᾿ αρπάζεις το μοιράδι!,0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"Χαρά στο λαοφαγά τον άρχοντα, πού ορίζει τιποτένιους!",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"Αλλιώς, Ατρείδη, λέω δε θα 'σωνες άλλη αδικία να κάνεις.",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"Μ᾿ άκου τα λόγια μου, πού απάνω τους όρκο τρανό θα ομώσω:",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
Μα τούτο το ραβδί—σ᾿ τ᾿ ορκίζομαι—που φύλλα πια και κλωνιά,0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"δε θα πετάξει, αφού παράτησε στο λόγγο τον κορμό του,",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"κι ουδέ θ᾿ ανοίξει πια, τι ολόγυρα του 'χει ο χαλκός θερίσει",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"φύλλα και φλούδα, και στα χέρια τους οι Αργίτες κρισολόγοι",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]"
"τώρα το σφίγγουν διαφεντεύοντας τη δικαιοσύνη πάντα,",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]"
ως το 'χει ορίσει ο Δίας—τον άκουσες τον όρκο τον τρανό μου!,0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
Θα 'ρθεί καιρός αλήθεια που όλοι τους θ᾿ αποζητούν οι Αργίτες,0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
"τον Αχιλλέα, και τότε μ᾿ όλο σου δε θα μπορείς τον πόνο",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"να τους συντρέξεις, απ᾿ τον Έχτορα καθώς τον αντροφόνο",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
νεκροί θα πέφτουν και θα σκίζεται τότε η καρδιά σου εσένα,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"απ᾿ τον καημό, που παραψήφησες των Αχαιών τον πρώτο.»",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"Είπε ο Αχιλλέας, και σφεντονίζοντας στο χώμα το ραβδί του,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"το πλουμισμένο με χρυσόκαρφα, στη θέση του διαγέρνει.",0.375,0.375,0.125,0.125,"[0.375, 0.375, 0.125, 0.125]"
Χώρια κι ο γιος του Ατρέα ξεφρένιαζε. Πετάχτη τότε ομπρός τους,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"ο Νέστορας, ο γλυκομίλητος αγορητής της Πύλος,",0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]"
που πιο γλυκά άπ᾿ το μέλι ανάβρυζαν τα λόγια του απ᾿ το στόμα.,0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
Δυο είχαν ιδεί τα μάτια του γενιές ως τώρα να πεθαίνουν,0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
"θνητών ανθρώπων, πού γεννήθηκαν και τράνεψαν πιο πρώτα",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
"στην άγια Πύλο, και βασίλευε πια στη γενιά την τρίτη.",0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]"
και τότε μίλησε καλόγνωμος αναμεσό τους κι είπε:,0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
"« Ώχού, τρανό κακό που πλάκωσε των Αχαιών τη χώρα!",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"Ο Πρίαμος πόσο θ᾿ αναγάλλιαζε κι οι γιοι του Πριάμου τώρα,",0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]"
"πόσο βαθιά κ᾿ οι Τρώες οι επίλοιποι θα χαίρουνταν αλήθεια,",0.125,0.375,0.375,0.125,"[0.125, 0.375, 0.375, 0.125]"
"τούτα για σας τους δυο να μάθαιναν, πώς αρπαχτήκατε έτσι,",0.125,0.25,0.5,0.125,"[0.125, 0.25, 0.5, 0.125]"
"οι πρώτοι Αργίτες, και στη φρόνεψη και στο κοντάρι οι πρώτοι.",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
Μα τώρα ακουστέ μου! Τα χρόνια μου κανένας σας δεν τα 'χει.,0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]"
Εγώ είχα σμίξει με άντρες κάποτε πολύ τρανότερούς σας,0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
"—χρόνια παλιά—κι αυτοί τα λόγια μου δεν τ᾿ αψηφούσαν, όχι.",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
"Άντρες παρόμοιους δεν αντάμωσα κι ουδέ και θ᾿ ανταμώσω,",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
"σαν τον Πειρίθο ή τον Πολύφημο, που ίδια θεός λογιόταν,",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
"σαν τον Εξάδιο, σαν το Δρύαντα, σαν τον Καινέα το ρήγα,",0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.0, 0.0]"
"σαν το Θησέα, στην όψη που 'μοιαζε θεός, το γιο του Αιγέα.",0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]"
"Πολλά αντρειωμένοι εκείνοι εστάθηκαν στης γης τους άντρες μέσα,",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
"πολλά αντρειωμένοι, και πολέμησαν και με πολλά αντρειωμένους'",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
με του βουνού τους δράκους τα 'βαλαν και τους χάλασαν όλους.,0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
"Μ᾿ αυτούς εγώ συναπαντήθηκα, φτασμένος απ᾿ την Πύλο,",0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.0, 0.0]"
"πέρα, από τόπο αλαργοτάξιδο᾿ τι ατοί τους με κάλεσαν,",0.75,0.25,0.0,0.0,"[0.75, 0.25, 0.0, 0.0]"
"και χώρια, για δικού μου, αμάχουμουν. Απ᾿ όσους θρέφει τώρα",0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]"
"η γη, κανείς δε θα 'χε ανάκαρα να χτυπηθεί μαζί τους.",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]"
Κι ωστόσο παίρναν και τη γνώμη μου και μου άκουγαν το λόγο.,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"Λοιπόν κι εσείς, ελάτε, ακούστε μου, χαρά σ᾿ αυτόν που ακούει.",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
"και μήτε εσύ, κι ας έχεις δύναμη, την κόρη να του πάρεις,",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
"μόν᾿ άφησέ τη, ως του την έδωκαν αποξαρχής οι Αργίτες᾿",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
"μήτε κι εσύ, Αχιλλέα, να ρίχνεσαι του βασιλιά μας τώρα",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
σαν ίσια κι όμοιος· τι δεν έλαχε την ίδια με τους άλλους,0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
"τιμή ένας ρήγας πρωτοστάτορας, που ο Δίας τον μεγαλύνει.",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
"Κι αν είσαι δυνατός, κι αν σ᾿ έκανε θεά μητέρα εσένα,",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
"στέκει απ᾿ την άλλη αυτός πιο πάνω σου, τι πιο πολλούς ορίζει.",0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]"
"Υγιέ του Ατρέα, κι εσύ την όργητα παράτα, του Αχιλλέα",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
"μην του κρατάς θυμό, ξορκίζω σε᾿ τι στους Αργίτες όλους",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
αυτός μας στέκει κάστρο ατράνταχτο μες στη σφαγή την άγρια.»,0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
Κι ο πρωταφέντης Αγαμέμνονας γυρνώντας του αποκρίθη:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"« Τα όσα μου λες αλήθεια, γέροντα, πολύ σωστά και δίκια,",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
"μ᾿ αυτός εδώ γυρεύει απ᾿ όλους μας να στέκεται πιο πάνω,",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"όλους δικούς του να 'χει, σε όλους μας να κάνει το κουμάντο,",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
όλους να ορίζει᾿ μα τα λόγια του θα πάν θαρρώ του ανέμου.,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"Κι αν οι θεοί μαθές οι αθάνατοι τον κάμαν αντρειωμένο,",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
του δώκαν τάχα και το λεύτερο να βγαίνει να μας βρίζει;»,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
Το λόγο του 'κόψε ο τρισεύγενος τότε Αχιλλέας και του 'πε:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"« Αλήθεια, να με πούνε θ᾿ αξιζε κιοτή και τιποτένιο,",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"σε ό,τι κι αν έλεγες αν σύγκλινα, να κάνω ό,τι προστάζεις.",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"Άλλους, αν θέλεις, βρες κι αφέντευε, σε μένα πια μην κάνεις",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
κουμάντο τώρα᾿ τι τα λόγια σου θα παν θαρρώ του ανέμου.,0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
"Κάποιο άλλο λόγο τώρα θά 'λεγα, και συ στο νου σου βάλ᾿ τον:",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
Στα χέρια αλήθεια εγώ δεν έρχομαι με σένα για και μ᾿ άλλον,0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
γι᾿ αυτή την κόρη που μού δώσατε και τώρα παίρνετέ μου',0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
όμως απ᾿ τ᾿ άλλα που μου βρίσκουνται μες στο γοργό καράβι,0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]"
δεν έχεις να μου πάρεις τίποτα χωρίς το θέλημα μου.,0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]"
"Είδε κι αν θες, ομπρός, δοκίμασε, για να το δουν και τούτοι'",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
ευτύς θ᾿ αναβρυσίσει το αίμα σου τρογύρα απ᾿ το κοντάρι!»,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"Έτσι ως πιάστηκαν συναλλάζοντας λόγια βαριά κι οι δυο τους,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
σκωθηκαν και σκολνούν τη σύναξη στ᾿ Αργίτικα καράβια.,0.375,0.25,0.25,0.125,"[0.375, 0.25, 0.25, 0.125]"
Και τράβηξε ο Αχιλλέας για τ᾿ άρμενα τα καλοζυγιασμένα,0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]"
"και τα καλύβια, με τον Πάτροκλο μαζί και τους συντρόφους.",0.25,0.5,0.125,0.125,"[0.25, 0.5, 0.125, 0.125]"
"Κι ο γιος του Ατρέα γοργό στη θάλασσα καράβι λέει και ρίχνουν,",0.125,0.625,0.125,0.125,"[0.125, 0.625, 0.125, 0.125]"
"διαλέει και λαμνοκόπους είκοσι, πλήθια σφαχτά φορτώνει",0.125,0.625,0.125,0.125,"[0.125, 0.625, 0.125, 0.125]"
για το θεό᾿ τη ροδομάγουλη μετά τη Χρυσοπούλα,0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
καθίζει. Μπήκε κι ο πολύγνωμος να κυβερνά Οδυσσέας.,0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
Μπήκαν λοιπόν αυτοί κι αρμένιζαν στης θάλασσας τις στράτες!,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"κι ο γιος του Ατρέα το ασκέρι πρόσταξε να ξαγνιστεί, κι εκείνοι",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
"λούζονταν, κι όλα τ᾿ απονίμματα μες στο γιαλό τα ρίχναν,",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]"
και στον Απόλλωνα αψεγάδιαστα ταυριά και γίδια έσφαζαν,0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
"πολλά, στης άκαρπης της θάλασσας μπροστά το γυρογιάλι'",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
κι η κνίσα ανέβαινε στρουφίζοντας με τον καπνό στα ουράνια.,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
Τούτοι έτσι εμόχτουν ο Αγαμέμνονας δεν παρατούσε ωστόσο,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
την όχτρητα και τι φοβέρισε στον Αχιλλέα να κάνει',0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
"κι ευτύς τον Ευρυβάτη εφώναξε και τον Ταλθύβιο ομπρός του,",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
τους δυο διαλάληδες και πρόθυμους παραστεκάμενούς του:,0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]"
«Για συρτέ στου Αχιλλέα και γρήγορα κρατώντας τη απ΄ το χέρι,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
φέρτε μου εδώ τη ροδομάγουλη γυρνώντας Βρισοπούλα.,0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]"
"Κι αν δεν τη δώσει, εγώ με πιότερους Θα πάω και θα την πάρω",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
με αυτά τα χέρια μου᾿ βαρύτερα θα το πλερώσει τότε.»,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
"Ως είπε τούτα φοβερίζοντας, τους πρόσταξε να φύγουν,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
κι αυτοί στο κύμα δίπλα το άκαρπο γιαλό γιαλό τραβούσαν,0.5,0.25,0.25,0.0,"[0.5, 0.25, 0.25, 0.0]"
"αθέλητα τους, ως που στ᾿ άρμενα των Μυρμιδόνων φτάσαν.",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
Και τον πέτυχαν στο καράβι του σιμά και στο καλύβι,0.375,0.25,0.25,0.125,"[0.375, 0.25, 0.25, 0.125]"
"να κάθεται, κι ουδέ το χάρηκε να τους ιδεί μπροστά του.",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"Κι εκείνοι εδείλιασαν και ντράπηκαν τον Αχιλλέα, κι αντίκρυ",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
στέκονταν κι ούτε τον χαιρέτιζαν κι ουδέ και τον ρωτούσαν.,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
Μ᾿ αυτός τι θέλαν το κατάλαβε και μίλησε τους πρώτος:,0.5,0.25,0.25,0.0,"[0.5, 0.25, 0.25, 0.0]"
"« Καλώς τους κράχτες, τους μαντάτορες του Δία και των ανθρώπων",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
"ζυγώστε᾿ εσείς δε φταίτε τίποτα, μονάχα ο γιος του Ατρέα,",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
πού εδώ σας στέλνει να μου πάρετε την ώρια Βρισοπούλα.,0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]"
"Πάτροκλε, εμπρός, αρχοντογέννητε, βγάλε και δώσ᾿ την κόρη",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
να τήνε πάρουν κι οι διαλάληδες μαρτύροι ας είναι ετούτοι,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"μπρος στους τρισμάκαρους αθάνατους, μπρος στους θνητούς ανθρώπους",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"και μπρος στο βασιλιά τον άκαρδο, τη μέρα που θα μ᾿ έχουν",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"τυχόν ανάγκη, πάλε από άδικο χαμό να ξεγλιτώσω",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
τους άλλους· τι έχει εκείνος μέσα του κατάρα δίχως άλλο,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"και ξεφρενιάζει, κι ουδέ δύνεται να ιδεί μπροστά και πίσω,",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
πώς δίπλα στα καράβια ανέβλαβος θα πολεμά ο στρατός του.»,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"Είπε, κι ο Πάτροκλος του ακράνη του συναγρικάει το λόγο,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
κι απ᾿ το καλύβι την πανέμνοστη τη Βρισοπούλα βγάζει,0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]"
"και τους τη δίνει· δίπλα στ᾿ άρμενα το δρόμο εκείνοι επήραν,",0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]"
